Title	URL	Assignees	Status	Estimated size	Real size	Sprint	Priority
Refactor Repository Structure and Cleanup	https://github.com/amosproj/amos2025ss02-building-documentation-management-system/issues/152	kamsur, so77nava	Product Backlog	2			
Create a "Demo Day Slide"	https://github.com/amosproj/amos2025ss02-building-documentation-management-system/issues/231		Product Backlog				
Create a "Demo Day Video"	https://github.com/amosproj/amos2025ss02-building-documentation-management-system/issues/232		Product Backlog				
Create Document-Scoped Chatbot Backend Endpoint for User Queries	https://github.com/amosproj/amos2025ss02-building-documentation-management-system/issues/233		Product Backlog				
Enable Document-Scoped Chat in Frontend	https://github.com/amosproj/amos2025ss02-building-documentation-management-system/issues/239	arpita739, bastydjamen	Product Backlog				
Bug: Document Download not working	https://github.com/amosproj/amos2025ss02-building-documentation-management-system/issues/235	masum-abid	Product Backlog				
Make Key Information Editable for User	https://github.com/amosproj/amos2025ss02-building-documentation-management-system/issues/236	bastydjamen, masum-abid	Product Backlog				
Improve Performance of OCR Extraction with Apache Tika	https://github.com/amosproj/amos2025ss02-building-documentation-management-system/issues/237		Product Backlog				
Secure Production Environment: Public Access Limited to Frontend and Backend API	https://github.com/amosproj/amos2025ss02-building-documentation-management-system/issues/180	kamsur	Product Backlog				
Remove FastAPI Proxy and Connect C# Backend Directly to Ollama	https://github.com/amosproj/amos2025ss02-building-documentation-management-system/issues/155	SyedAffan10	Product Backlog				
Remove Default /weatherforecast Endpoint from Backend	https://github.com/amosproj/amos2025ss02-building-documentation-management-system/issues/153	so77nava	Product Backlog				
Remove Unused Tables and Fields from Database	https://github.com/amosproj/amos2025ss02-building-documentation-management-system/issues/238	kamsur	Product Backlog				
Enhance User, (Technical) Design and Build/Deploy Documentation	https://github.com/amosproj/amos2025ss02-building-documentation-management-system/issues/129		Product Backlog				
Deploy Larger Language Model on Production & Redirect Local Dev Requests	https://github.com/amosproj/amos2025ss02-building-documentation-management-system/issues/221		Sprint Backlog	8		Sprint 11	
Enforce HTTPS on Production Server	https://github.com/amosproj/amos2025ss02-building-documentation-management-system/issues/98	so77nava	In Progress	3		Sprint 7	
Display Key Information on File View Page	https://github.com/amosproj/amos2025ss02-building-documentation-management-system/issues/213	masum-abid	In Progress	3		Sprint 11	
Populate Category Dropdown with Actual Categories	https://github.com/amosproj/amos2025ss02-building-documentation-management-system/issues/211	kamsur	Awaiting Review	3		Sprint 11	
Enhance the Frontend Design	https://github.com/amosproj/amos2025ss02-building-documentation-management-system/issues/135	arpita739, kamsur	Awaiting Review	5		Sprint 10	
Show Loading State While User Waits for Upload Processing	https://github.com/amosproj/amos2025ss02-building-documentation-management-system/issues/222	arpita739, bastydjamen	Awaiting Review	3		Sprint 11	
Adjust DB Schema to Store Key Information	https://github.com/amosproj/amos2025ss02-building-documentation-management-system/issues/191	arpita739, kamsur, so77nava	Awaiting Review	3		Sprint 11	
Limit Organization Access for Users	https://github.com/amosproj/amos2025ss02-building-documentation-management-system/issues/212	bastydjamen	Awaiting Review	3		Sprint 11	
Auto-Detect Document Category from Uploaded Document	https://github.com/amosproj/amos2025ss02-building-documentation-management-system/issues/192	SyedAffan10	Awaiting Review	3		Sprint 10	
Auto-Extract Key Information for a Document	https://github.com/amosproj/amos2025ss02-building-documentation-management-system/issues/214	arpita739, SyedAffan10	Awaiting Review	5		Sprint 11	
Replace wait-for-it.sh with Docker Compose depends_on and healthcheck	https://github.com/amosproj/amos2025ss02-building-documentation-management-system/issues/223	so77nava	Awaiting Review				
Update Bill of Materials with New Dependencies	https://github.com/amosproj/amos2025ss02-building-documentation-management-system/issues/87	kamsur	Awaiting Review	1		Sprint 6	
Implement OCR using Tika service	https://github.com/amosproj/amos2025ss02-building-documentation-management-system/issues/160	arpita739	Feature Archive	8	5	Sprint 9	
Display Stored Documents and Buildings in the Document Explorer	https://github.com/amosproj/amos2025ss02-building-documentation-management-system/issues/95	bastydjamen, kamsur, masum-abid	Feature Archive	3	3	Sprint 7	
Enable Building and Category Change from Document View	https://github.com/amosproj/amos2025ss02-building-documentation-management-system/issues/178	bastydjamen, kamsur	Feature Archive	5	5	Sprint 9	
Create GET Endpoint for document categories	https://github.com/amosproj/amos2025ss02-building-documentation-management-system/issues/193	kamsur	Feature Archive	3	5	Sprint 10	
Bug: Inject correct API_URL in Frontend Production	https://github.com/amosproj/amos2025ss02-building-documentation-management-system/issues/162	kamsur	Feature Archive	8	8	Sprint 9	
Implement Session-Based Authentication for Frontend	https://github.com/amosproj/amos2025ss02-building-documentation-management-system/issues/159	bastydjamen	Feature Archive	5	8	Sprint 9	
Auto-Detect Building from Uploaded Document Content	https://github.com/amosproj/amos2025ss02-building-documentation-management-system/issues/157	SyedAffan10	Feature Archive	8	8	Sprint 8	
Implement User Authentication in Backend	https://github.com/amosproj/amos2025ss02-building-documentation-management-system/issues/101	masum-abid	Feature Archive	5	5	Sprint 7	
Document Upload Popup	https://github.com/amosproj/amos2025ss02-building-documentation-management-system/issues/154	arpita739, kamsur	Feature Archive	5	13	Sprint 8	
