Title	URL	Assignees	Status	Estimated size	Sprint	Priority
Enhance User, (Technical) Design and Build/Deploy Documentation	https://github.com/amosproj/amos2025ss02-building-documentation-management-system/issues/129		Product Backlog			
Ensure Consistent Key Information Extraction and Frontend Display Based on document-categories.json	https://github.com/amosproj/amos2025ss02-building-documentation-management-system/issues/272	bastydjamen	Product Backlog			
Prepare Demo Presentation	https://github.com/amosproj/amos2025ss02-building-documentation-management-system/issues/269		Product Backlog			
Test Final Product and Fix Remaining Bugs	https://github.com/amosproj/amos2025ss02-building-documentation-management-system/issues/267		Product Backlog			
Fine-Tune Frontend for Final Delivery	https://github.com/amosproj/amos2025ss02-building-documentation-management-system/issues/270	masum-abid	Product Backlog			
Remove Default /weatherforecast Endpoint from Backend	https://github.com/amosproj/amos2025ss02-building-documentation-management-system/issues/153	so77nava	Product Backlog			
Remove Unused Tables and Fields from Database	https://github.com/amosproj/amos2025ss02-building-documentation-management-system/issues/238	kamsur	Product Backlog			
Confirm Correct Usage of Open API SDK for all Frontend-Backend Communication	https://github.com/amosproj/amos2025ss02-building-documentation-management-system/issues/271		Product Backlog			
Update Repository README file(s)	https://github.com/amosproj/amos2025ss02-building-documentation-management-system/issues/268	masum-abid	Product Backlog			
Secure Production Environment: Public Access Limited to Frontend and Backend API	https://github.com/amosproj/amos2025ss02-building-documentation-management-system/issues/180		Product Backlog			
Create a "Demo Day Slide"	https://github.com/amosproj/amos2025ss02-building-documentation-management-system/issues/231	masum-abid	Sprint Backlog	3	Sprint 12	
Create a "Demo Video"	https://github.com/amosproj/amos2025ss02-building-documentation-management-system/issues/232		Sprint Backlog	3	Sprint 12	
Enforce HTTPS on Production Server	https://github.com/amosproj/amos2025ss02-building-documentation-management-system/issues/98	so77nava	In Progress	3	Sprint 7	
Improve Performance of OCR Extraction with Apache Tika	https://github.com/amosproj/amos2025ss02-building-documentation-management-system/issues/237	arpita739	In Progress	5	Sprint 12	
Extract Key Information Using Separate Prompt After Category Confirmation	https://github.com/amosproj/amos2025ss02-building-documentation-management-system/issues/273	SyedAffan10	In Progress			
Remove FastAPI Proxy and Connect C# Backend Directly to Ollama	https://github.com/amosproj/amos2025ss02-building-documentation-management-system/issues/155	SyedAffan10	Awaiting Review	8	Sprint 12	
Replace wait-for-it.sh with Docker Compose depends_on and healthcheck	https://github.com/amosproj/amos2025ss02-building-documentation-management-system/issues/223	bastydjamen, so77nava	Awaiting Review		Sprint 11	
